comment,video,clean,label,label_id
"btw dulu gue lihat fajar tuh kesel banget loh, hahah. kaya ""ini anak gajelas banget sih""
elah dalah, ternyata selera humorku dulu berbeda dg sekarang😂",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,btw gue lihat fajar tuh kesel banget loh hahah kaya anak gajelas banget sih elah dalah selera humor beda dg,netral,1
wkwkwk sakit perut bangke,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wkwkwk sakit perut bangke,netral,1
pecah banget beritiga itu digabungin😭😭😭,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah banget beritiga digabungin,netral,1
Fajar bangkeeee,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar bangkeeee,netral,1
Kopinya cuman 2 lagi,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kopi cuman,netral,1
kocakkk asliii,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kocakkk asliii,netral,1
"Wkwkwwkwkwkwkwkwwkwkwk ini siiih paling di tunggu""",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wkwkwwkwkwkwkwkwwkwkwk siiih tunggu,netral,1
Anjay ustadz sunnah.,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,anjay ustadz sunnah,netral,1
Pecaaaahhhh,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecaaaahhhh,netral,1
"Sukses terus, Davina! ▄︻デG̷E̷L̷O̷R̷A̷ ̷G̷A̷M̷I̷N̷G̷══━一",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sukses davina,netral,1
Cakep bener Punch nya fajar,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cakep bener punch nya fajar,netral,1
Bang mael disini aja terus pasti seru bintang tamu slnjutnya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bang mael aja seru bintang tamu slnjutnya,netral,1
Maeel jadiin cohost aja 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maeel jadiin cohost aja,netral,1
"Memang cocok mereka bertiga ini di pertemukan, pecah abiss man😂",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok tiga temu pecah abiss man,netral,1
Pras rokok djarum mangga,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pras rokok djarum mangga,netral,1
Ngakak🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ngakak,netral,1
Pokoknya TABURAI KLP GADING ...TOP LAHH ❤❤ lope2 😂 abis mkn cuci tangan dikeringin pake tiap angin SAKTI😅...jgn lupa bw lap masing2 yakk buat lap mulut😂😂 eeaaaa,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pokok taburai klp gading top lahh lope2 abis mkn cuci tangan ringin pake angin sakti jgn lupa bw lap masing2 yakk lap mulut eeaaaa,positif,2
39:22 🤣🤣🤣🤣😅,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,39 22,netral,1
"Di baca ga sih yah komen nya sama beliaun 😂😂 aku setuju ini bulan puasa 2026 ada acaranya bertiga ini, buat nemenin sahur atau waktu berbuka 😅 pasti seru",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,baca ga sih yah komen nya beliaun tuju puasa 2026 acara tiga nemenin sahur buka seru,netral,1
Emak emak kaya aku butuh bgt hiburan kek gini 😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,emak emak kaya butuh bgt hibur kek gin,netral,1
Ngakak anjir,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ngakak anjir,netral,1
"Pas liat ini, kerasa butuh pampes",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pas liat rasa butuh pampes,netral,1
"Maa syaa Allah,, fajar hafal surat Arrohman",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maa syaa allah fajar hafal surat arrohman,netral,1
Ngakak bet mukanya maeell,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ngakak bet muka maeell,netral,1
Fajar nyabyi gangnam styl mau ambil apa 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar nyabyi gangnam styl ambil,netral,1
Bengek gw😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bengek gw,netral,1
salfok sama rokok nya prazzz 76 mangga😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,salfok rokok nya prazzz 76 mangga,netral,1
"Pras + Mael, sesekali Fajar datang ngerecokin",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pras mael fajar ngerecokin,netral,1
"Sumpah episode ini gue ngakak mulu,, bang mael lucu dan fajar ngeselin tapi bikin ketawa 😅❤",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sumpah episode gue ngakak mulu bang mael lucu fajar ngeselin bikin ketawa,netral,1
Udah nonton balek LG nonton. Pecah s boy boy...,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,udah nonton balek lg nonton pecah boy boy,netral,1
Ambil rokok,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ambil rokok,netral,1
masyaallah mael,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,masyaallah mael,netral,1
Kocak anjeeeng 😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kocak anjeeeng,netral,1
kocak banget,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kocak banget,netral,1
Fajar itu  orang cerdas.. dia punya pemikiran logis yg dibalut komedi.,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar orang cerdas pikir logis yg balut komedi,netral,1
Fajar sad boy diam memikirkan emosi yang sesungguhnya salut keren 😭🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar sad boy diam pikir emosi sungguh salut keren,negatif,0
Fajar emng kocak ketemu mael yg suka emosi😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar emng kocak ketemu mael yg suka emosi,netral,1
"Dri dlu mncing di laut yg apes ,bang kepin teruus. Si timun laut😅😅😅",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,dri dlu mncing laut yg apes bang pin teruus si timun laut,netral,1
Ke Ngebully ya😢,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ngebully ya,netral,1
gamau banyak bacot gua bang nanti di kira sales wkwk gua cuman mau share situs ⚡ TABUNG4D ⚡ yang sering gua mainin itu gacor,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gamau bacot gua bang sales wkwk gua cuman share situs tabung4d gua mainin gacor,netral,1
Mael hebat tp mudh2an  bener DLM be raga ma..,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,mael hebat tp mudh2an bener dlm be raga ma,netral,1
Fajar vs maeil  cocok kocak😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar vs maeil cocok kocak,netral,1
"Kaya nya harus 1 frame lagi 3 pria ini , sangatttt menghibur dan pass menjadi genk di podcast",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kaya nya frame pria sangatttt hibur pass genk podcast,netral,1
Si pras udah tua bandelnya telat,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,si pras udah tua bandel telat,netral,1
Pecah si ini gokil parah wkwkwk,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah si gokil parah wkwkwk,netral,1
sedikit kritikan disini keliatan pada kaku banget pak,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kritik liat kaku banget,netral,1
"LUCU , dan juga memberikan pencerahan .  KEREN SANGAT ❤",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,lucu cerah keren,netral,1
"Ehh 3 pelawak ini jujur lucu banget dari awal udah ketawa ga berhenti"" padahal hampir 1 jam tapi berasa cepet",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ehh lawak jujur lucu banget udah ketawa ga henti jam asa cepet,netral,1
Wahabi,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wahabi,netral,1
"Asli..
Ini beda bgt dari yg lain..
Hati sama qolbu gw terhibur bgt..
Sehat² dan berkah barokah rejeki untuk kalian..",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,asli beda bgt yg hati qolbu gw hibur bgt sehat berkah barokah rejeki,netral,1
Eksekusi-korban-pemenang😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,eksekusi korban menang,netral,1
Buat temenin sahur seru nih😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,temenin sahur seru nih,netral,1
Fajar itu pinter!!!!,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar pinter,netral,1
Cobak tebak hewan apa yg pling tuwA,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cobak tebak hewan yg pling tuwa,netral,1
jangan berdebat,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,debat,netral,1
10 hari uda 5jt  . Viewers... Kecee badai    lanjut bang pras,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,10 uda 5jt viewers kecee badai bang pras,netral,1
"Asliiiii The Best Fajar dan Om Lele,pertahankan terus mereka Om Prazzz😅😂😅",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,asliiiii the best fajar om lele tahan om prazzz,positif,2
Asli kocaakkk,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,asli kocaakkk,netral,1
Nonton krna fajar 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,nonton krna fajar,netral,1
"Mael...ingatkan praz,tanpa ngomong an**ng tetap asik dan oke kok..",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,mael ingat praz ngomong an ng asik oke,netral,1
Gak ada fajar gak bakalan pecah ini acara nya 😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gak fajar gak pecah acara nya,netral,1
Fazar ga nyaman ya 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fazar ga nyaman ya,netral,1
Bagus kali adabnya 😊 dy nunggu mail minum dluan baru dy minum 😊😊 ya walau itu kopinya praz 😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bagus kali adab dy nunggu mail minum dluan dy minum ya kopi praz,netral,1
"Gila pecah gila, 🎉🎉🎉❤❤ fajar gk ada obat",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gila pecah gila fajar gk obat,netral,1
"WKWK:
20:10
21:37
23:41
28:48",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wkwk 20 10 21 37 23 41 28 48,netral,1
32:25 di minicraft bang😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,32 25 minicraft bang,netral,1
Fajarrr🎉🎉🎉🎉,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajarrr,netral,1
Sampe kenyang saya ketawa liat 3 orang ini😂😂😂😂.  Editornya jago,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sampe kenyang ketawa liat orang editor jago,netral,1
Sangat terhibur semoga lawakan kalian makin maju,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,hibur moga lawa maju,netral,1
Fajar memang otak nya pinter kalo gak udah di lupain,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar otak nya pinter kalo gak udah lupain,netral,1
Pecah banget mereka bertiga aslin😂😂😂😅😂😅😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah banget tiga aslin,netral,1
prasaaan ngga ada om ebel ga seruu,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,prasaaan ngga om ebel ga seruu,netral,1
"Keren fajar, hapalan alquran tetap jalan , jangan terkontaminasi yang buruk2",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,keren fajar hapalan alquran jalan kontaminasi buruk2,netral,1
Gokil Iq fajar di atas rata2,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gokil iq fajar rata2,netral,1
"Beneran gaess.. Vibes nya, bulan puasa bangettt",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,beneran gaess vibes nya puasa bangettt,netral,1
😮pecah bgt keren,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah bgt keren,netral,1
Pas kali lah orang ini ber3😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pas kali orang ber3,netral,1
Asli ngakak nonton nya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,asli ngakak nonton nya,netral,1
Wkwkwkwkwkw seru ini ada bang mael😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wkwkwkwkwkw seru bang mael,netral,1
Duet praz dan mael keren,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,duet praz mael keren,netral,1
Wkwkwkwkwk... Ya Allah sakit kali perut ku ketawa niih... Ampun bang mail,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wkwkwkwkwk ya allah sakit kali perut ku ketawa niih ampun bang mail,netral,1
Demi apaaaa lucu bgt org ini di gabungin ber3,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,apaaaa lucu bgt org gabungin ber3,netral,1
Wkwkw,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wkwkw,netral,1
Ngakak full😅😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ngakak full,positif,2
pecah bangat eni mah 😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah bangat eni mah,netral,1
Saat benturkan kepala fajar itu lucu ..tapi kurang elok ..kesannya superior sekali ..karena dilakukan dg setengah emosi ..kurang elok diliat apapun sebabnya .,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bentur kepala fajar lucu elok kesan superior dg emosi elok liat apa,positif,2
Kasih mereka acara ramadhan 🎉,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kasih acara ramadhan,netral,1
gak berenti ngakak 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gak renti ngakak,netral,1
seru banget nih aku sampai ngakak nih mas mael bang Pras sama pajar mantaf,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,seru banget nih ngakak nih mas mael bang pras pajar mantaf,netral,1
"Sehat"" and sukses terus ndo",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sehat and sukses ndo,netral,1
pecaaaaaaaaaaaaah.... gila fajar+mael+praz paket kombo bikin ngakak🤣🤣🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecaaaaaaaaaaaaah gila fajar mael praz paket kombo bikin ngakak,netral,1
Demi ungkerr,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ungkerr,netral,1
perasaan Fajar di sini dibully habis deh,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,asa fajar dibully habis deh,netral,1
Mereka bertiga cocok bgt plis bikinin mereka program dong pasti bakalan pecah sih,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,tiga cocok bgt plis bikinin program pecah sih,netral,1
😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
Baru beberapa hari udah 5jt penonton aura sadboy emang bener bener,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,udah 5jt tonton aura sadboy emang bener bener,netral,1
Ga berhenti ketawa sepanjang menit 😂😂 lucu bgt,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ga henti ketawa menit lucu bgt,netral,1
Fajar isi kekosongan lah om ded,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar isi kosong om ded,netral,1
"Maelle salaf,masyaallah",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maelle salaf masyaallah,netral,1
😂😂😂😂 sumpah ini setelan pas.. gas terus please,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sumpah setel pas gas please,netral,1
Dah formasi kumplit ni mah,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,dah formasi kumplit ni mah,netral,1
Maell pertahanin,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maell pertahanin,netral,1
Fajarr ajak syuting BG maell,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajarr ajak syuting bg maell,netral,1
Lucu banget fajaaaaar,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,lucu banget fajaaaaar,netral,1
"Maeell ketemu fajar cocokkk , angkat fajar jd murid mu bang mael",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maeell ketemu fajar cocokkk angkat fajar jd murid mu bang mael,netral,1
Asik banget main di 𝑮𝑬𝑳𝑶𝑹𝑨4𝑫 thanks jepenya!!,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,asik banget main thanks jepenya,positif,2
"4 x saya nonton podcast ini, fajar ktm mael li pas lucunya...pras teguh sebagai penambah bumbu lucunya 😊😅",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,nonton podcast fajar ktm mael li pas lucu pras teguh tambah bumbu lucu,netral,1
gacor bertiga klop... bikinin lah mael podcast biar ga rusak badan,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gacor tiga klop bikinin mael podcast biar ga rusak badan,netral,1
DIANTARA SEMUA VIDEO BANG PRAZ INI YANG PALING DEGDEGAN HAHAHAHAA,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,video bang praz degdegan hahahahaa,netral,1
Sehat2 fajar😅😅good luck bro👍🏻,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sehat2 fajar good luck bro,positif,2
Anjire😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,anjire,netral,1
yanti2 mie yanti😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,yanti2 mie yanti,netral,1
47:25  adem dengernya😊,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,47 25 adem dengernya,netral,1
"sprtinya fajar kasih notes,,, lele bikin kopi le,,, tp hostnya tdk peka,,, malah asik sendiri,, dan di awal2 sdh d ajak ngopi sm pras tapi ujung2nya,,, fajar terlihat kecewa sihh...


pesan sy klw mau fyp dgn bintang tamu fajar,,, cobalah sperti podcas sprti mamad dan ari kriting...",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sprtinya fajar kasih notes lele bikin kopi le tp hostnya tdk peka asik awal2 sdh ajak ngopi sm pras ujung2nya fajar kecewa sihh pesan sy klw fyp dgn bintang tamu fajar coba sperti podcas sprti mamad ari kriting,netral,1
😅😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
Anjrittt....gua abis operasi secar nonton ini berasa meletek jaitan gua gara2 ketawa ngakakkk... pecahhhh🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,anjrittt gua abis operasi secar nonton asa letek jaitan gua gara2 ketawa ngakakkk pecahhhh,netral,1
"Mael, Fajar, pecah..",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,mael fajar pecah,netral,1
Cocok ini mael.fajar pras... parah pecah...,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok mael fajar pras parah pecah,netral,1
Pea mail laklakan orang di sentil sampe pletok,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pea mail laklakan orang sentil sampe pletok,netral,1
"setiap Bikin Podcast nggak perah gagal Uda Praz , mantaap lanjut teruss",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bikin podcast nggak perah gagal uda praz mantaap teruss,netral,1
"Fajar terkenal bukan hanya karna Viral, tpi memang punya potensi di dunia komedi 👍 Dan alhamdulillah viral-nya Fajar mempertemukannya dengan industri ini. Sukses selalu Fajar 🎉🎉🎉",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar kenal karna viral tpi potensi dunia komedi alhamdulillah viral nya fajar temu industri sukses fajar,netral,1
Fajar: Sikattt Leee😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar sikattt leee,netral,1
46:12 mesra bgt anjay,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,46 12 mesra bgt anjay,netral,1
fajar tetap the best sihh,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar the best sihh,positif,2
Gila ini podcas kocak parah,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gila podcas kocak parah,netral,1
"Ratusan acara baru acara ini yg bikin w ngakak lama 😅😂🤣, pdhl q orngnya trmasuk susah ketawa Terima kasih hiburanya lanjut terus berkah selalu buat host besertatim kru  d sana 🥳👏👏👏",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ratus acara acara yg bikin ngakak pdhl orngnya trmasuk susah ketawa terima kasih hiburanya berkah host besertatim kru,netral,1
Salfok sama rokok nya 76 nanas 😅,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,salfok rokok nya 76 nanas,netral,1
Ajir bangus kalau kolep ini bertiga,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ajir bangus kolep tiga,netral,1
Kepala sekarang Bayak sensor yaa,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kepala bayak sensor yaa,netral,1
Seru banget dah kalau ada fajar sadboy,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,seru banget dah fajar sadboy,netral,1
Subhanallah bgt fajar sad boy👍,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,subhanallah bgt fajar sad boy,negatif,0
"Hadits dhoif bukan berarti bukan dari Rosulullah,",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,hadits dhoif rosulullah,netral,1
Ada hadits shohih dan hasan ribuan ngapain milih yg lemah,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,hadits shohih hasan ribu ngapain milih yg lemah,netral,1
"Pdhl nabi dan para sahabatnya sering makan, kalau baca doanya kepanjangan hrsnya ada hadits yg mutawatir nyatanya bismillah aja",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pdhl nabi sahabat makan baca doa panjang hrsnya hadits yg mutawatir bismillah aja,netral,1
"📚 Dalilnya:
Dari Aisyah radhiyallahu ‘anha, Rasulullah ﷺ bersabda:
“Apabila salah seorang di antara kalian hendak makan, hendaklah ia menyebut nama Allah (membaca Bismillah). Jika ia lupa menyebut nama Allah di awal, maka hendaklah ia mengucapkan:
Bismillahi fi awwalihi wa akhirihi (Dengan nama Allah pada awal dan akhirnya).”
(HR. Abu Dawud, Tirmidzi, dinilai hasan shahih oleh Al-Albani)
Tidak ada hadits shahih yang menyebut doa panjang seperti:
“Allahumma barik lana fima razaqtana wa qina ‘adzaban-nar”
sebagai doa sebelum makan — doa itu lebih tepat untuk setelah makan menurut sebagian ulama, dan bahkan dalam konteks lain (permohonan umum atas rezeki).
🟢 Kesimpulan menurut manhaj salaf:
Sebelum makan: cukup “Bismillah”.
Kalau lupa di awal: “Bismillahi fi awwalihi wa akhirihi”.
Setelah makan: “Alhamdulillah” atau doa yang shahih seperti:
“Alhamdulillahi alladzi ath’amani hadza wa razaqanihi min ghairi hawlin minni wa la quwwah.”
(HR. Abu Dawud, Tirmidzi)
Jadi benar, kalau Nabi ﷺ dan sahabatnya membaca doa panjang sebelum makan, tentu akan mutawatir dan diamalkan banyak orang. Tapi nyatanya yang mutawatir justru hanya “Bismillah”.",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,dalil aisyah radhiyallahu anha rasulullah sabda salah makan sebut nama allah baca bismillah lupa sebut nama allah bismillah fi awwalihi wa akhirihi nama allah hr abu dawud tirmidzi nilai hasan shahih al albani hadits shahih sebut doa allahumma barik lana fima razaqtana wa qina adzaban nar doa makan doa makan ulama konteks mohon rezeki simpul manhaj salaf makan bismillah lupa bismillah fi awwalihi wa akhirihi makan alhamdulillah doa shahih alhamdulillah alladzi ath aman hadza wa razaqanihi min ghairi hawlin minni wa la quwwah hr abu dawud tirmidzi nabi sahabat baca doa makan mutawatir amal orang mutawatir bismillah,netral,1
Itu lowongan kerja beneran apa borongan mas,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,lowong kerja beneran borong mas,netral,1
ya Allah ngakak g skip SM sekali😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ya allah ngakak skip sm,netral,1
Lu ngobat ya wkwkwkwk,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,lu ngobat ya wkwkwkwk,netral,1
"Allahumma Baarik.. Semoga istiqomah di atas Sunnah, Mael..",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,allahumma baarik moga istiqomah sunnah mael,netral,1
👍,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
